player,team,role,matches
NLTC Perera,Chennai Super Kings,bowler,1
NV Ojha,Rajasthan Royals,batter,14
OA Shah,Kolkata Knight Riders,batter,5
P Dogra,Rajasthan Royals,batter,8
P Kumar,Royal Challengers Bangalore,all-rounder,12
PA Patel,Chennai Super Kings,batter,4
PD Collingwood,Delhi Daredevils,all-rounder,7
PJ Sangwan,Delhi Daredevils,all-rounder,8
PP Chawla,Kings XI Punjab,all-rounder,14
PP Ojha,Deccan Chargers,all-rounder,16
Pankaj Singh,Royal Challengers Bangalore,all-rounder,2
R Ashwin,Chennai Super Kings,all-rounder,12
R Bhatia,Delhi Daredevils,all-rounder,5
R Dravid,Royal Challengers Bangalore,batter,11
R McLaren,Mumbai Indians,all-rounder,10
R Sathish,Mumbai Indians,all-rounder,10
R Sharma,Deccan Chargers,all-rounder,6
R Vinay Kumar,Royal Challengers Bangalore,all-rounder,14
RE van der Merwe,Royal Challengers Bangalore,all-rounder,1
RG Sharma,Deccan Chargers,all-rounder,16
RJ Harris,Deccan Chargers,all-rounder,8
RP Singh,Deccan Chargers,all-rounder,12
RR Powar,Kings XI Punjab,all-rounder,7
RS Bopara,Kings XI Punjab,all-rounder,10
RS Gavaskar,Kolkata Knight Riders,all-rounder,2
RS Sodhi,Kings XI Punjab,batter,1
RV Uthappa,Royal Challengers Bangalore,batter,14
S Anirudha,Chennai Super Kings,batter,2
S Badrinath,Chennai Super Kings,batter,15
S Dhawan,Mumbai Indians,batter,10
S Ladda,Delhi Daredevils,all-rounder,5
S Narwal,Rajasthan Royals,all-rounder,5
S Sreesanth,Kings XI Punjab,all-rounder,6
S Sriram,Royal Challengers Bangalore,all-rounder,1
S Tyagi,Chennai Super Kings,all-rounder,6
SA Asnodkar,Rajasthan Royals,batter,2
SB Jakati,Chennai Super Kings,bowler,11
SB Wagh,Rajasthan Royals,bowler,1
SC Ganguly,Kolkata Knight Riders,all-rounder,14
SE Bond,Kolkata Knight Riders,all-rounder,8
SE Marsh,Kings XI Punjab,batter,4
SJ Srivastava,Kings XI Punjab,all-rounder,8
SK Raina,Chennai Super Kings,all-rounder,16
SK Trivedi,Rajasthan Royals,all-rounder,11
SK Warne,Rajasthan Royals,all-rounder,14
SL Malinga,Mumbai Indians,all-rounder,13
SP Goswami,Royal Challengers Bangalore,batter,1
SR Tendulkar,Mumbai Indians,batter,15
SR Watson,Rajasthan Royals,all-rounder,6
SS Tiwary,Mumbai Indians,batter,15
ST Jayasuriya,Mumbai Indians,all-rounder,4
STR Binny,Mumbai Indians,all-rounder,1
SW Tait,Rajasthan Royals,all-rounder,8
T Thushara,Chennai Super Kings,all-rounder,4
TL Suman,Deccan Chargers,all-rounder,14
TM Dilshan,Delhi Daredevils,all-rounder,6
UT Yadav,Delhi Daredevils,all-rounder,7
V Kohli,Royal Challengers Bangalore,all-rounder,13
V Sehwag,Delhi Daredevils,all-rounder,14
VRV Singh,Kings XI Punjab,bowler,1
VS Malik,Kings XI Punjab,all-rounder,3
VVS Laxman,Deccan Chargers,batter,6
VY Mahesh,Delhi Daredevils,bowler,1
WP Saha,Kolkata Knight Riders,batter,6
WPUJC Vaas,Deccan Chargers,all-rounder,6
Y Nagar,Delhi Daredevils,all-rounder,1
Y Venugopal Rao,Deccan Chargers,all-rounder,5
YA Abdulla,Kings XI Punjab,all-rounder,2
YK Pathan,Rajasthan Royals,all-rounder,14
Yuvraj Singh,Kings XI Punjab,all-rounder,14
Z Khan,Mumbai Indians,all-rounder,14
