match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
16,Chennai Super Kings,AC Gilchrist,44,19,5,3,231.58,c M Muralitharan b SK Raina
16,Chennai Super Kings,HH Gibbs,69,56,6,2,123.21,not out
16,Chennai Super Kings,VVS Laxman,4,5,0,0,80.0,c JDP Oram b SK Raina
16,Chennai Super Kings,RG Sharma,18,19,0,1,94.74,c MS Dhoni b L Balaji
16,Chennai Super Kings,DR Smith,12,5,1,1,240.0,lbw b M Muralitharan
16,Chennai Super Kings,AA Bilakhia,12,14,1,0,85.71,not out
21,Delhi Daredevils,AC Gilchrist,8,5,2,0,160.0,c KD Karthik b DP Nannes
21,Delhi Daredevils,HH Gibbs,0,4,0,0,0.0,c AB de Villiers b DP Nannes
21,Delhi Daredevils,AA Bilakhia,22,27,2,0,81.48,lbw b DL Vettori
21,Delhi Daredevils,RG Sharma,17,20,2,0,85.0,c M Manhas b A Mishra
21,Delhi Daredevils,TL Suman,23,14,1,1,164.29,c AB de Villiers b PJ Sangwan
21,Delhi Daredevils,DR Smith,48,28,5,2,171.43,c DL Vettori b A Nehra
21,Delhi Daredevils,Y Venugopal Rao,16,15,1,0,106.67,b A Nehra
21,Delhi Daredevils,Shoaib Ahmed,0,3,0,0,0.0,run out (KD Karthik)
21,Delhi Daredevils,RP Singh,2,4,0,0,50.0,not out
21,Delhi Daredevils,PP Ojha,1,1,0,0,100.0,"run out (DL Vettori, KD Karthik)"
25,Rajasthan Royals,HH Gibbs,8,10,1,0,80.0,lbw b YK Pathan
25,Rajasthan Royals,AC Gilchrist,39,35,5,2,111.43,c YK Pathan b RA Jadeja
25,Rajasthan Royals,AA Bilakhia,1,5,0,0,20.0,c SK Trivedi b SM Harwood
25,Rajasthan Royals,RG Sharma,38,32,2,2,118.75,c SK Warne b SK Trivedi
25,Rajasthan Royals,TL Suman,41,30,2,1,136.67,not out
25,Rajasthan Royals,DR Smith,7,8,1,0,87.5,c SK Warne b SM Harwood
29,Chennai Super Kings,AC Gilchrist,0,1,0,0,0.0,lbw b JA Morkel
29,Chennai Super Kings,HH Gibbs,0,2,0,0,0.0,b S Tyagi
29,Chennai Super Kings,VVS Laxman,0,7,0,0,0.0,c SB Jakati b JA Morkel
29,Chennai Super Kings,RG Sharma,21,20,2,1,105.0,c S Badrinath b SB Jakati
29,Chennai Super Kings,DR Smith,49,23,2,5,213.04,lbw b SB Jakati
29,Chennai Super Kings,TL Suman,17,17,2,0,100.0,c M Vijay b M Muralitharan
29,Chennai Super Kings,Y Venugopal Rao,2,5,0,0,40.0,c M Muralitharan b SB Jakati
29,Chennai Super Kings,RJ Harris,1,4,0,0,25.0,b SB Jakati
29,Chennai Super Kings,RP Singh,2,6,0,0,33.33,c M Vijay b M Muralitharan
29,Chennai Super Kings,Shoaib Ahmed,1,2,0,0,50.0,not out
29,Chennai Super Kings,PP Ojha,0,2,0,0,0.0,c SB Jakati b SK Raina
32,Mumbai Indians,AC Gilchrist,25,29,2,1,86.21,b RR Raje
32,Mumbai Indians,HH Gibbs,0,5,0,0,0.0,c SR Tendulkar b DS Kulkarni
32,Mumbai Indians,TL Suman,20,13,1,2,153.85,c PR Shah b DJ Bravo
32,Mumbai Indians,RG Sharma,38,36,2,1,105.56,c DJ Bravo b SL Malinga
32,Mumbai Indians,DR Smith,16,12,1,1,133.33,b ST Jayasuriya
32,Mumbai Indians,Y Venugopal Rao,28,17,2,1,164.71,"run out (DJ Bravo, PR Shah)"
32,Mumbai Indians,DB Ravi Teja,4,4,0,0,100.0,not out
32,Mumbai Indians,RJ Harris,5,4,0,0,125.0,not out
36,Kings XI Punjab,AC Gilchrist,20,16,3,1,125.0,c RR Powar b S Sreesanth
36,Kings XI Punjab,HH Gibbs,13,13,1,0,100.0,c DPMD Jayawardene b PP Chawla
36,Kings XI Punjab,TL Suman,27,17,1,2,158.82,c DPMD Jayawardene b WA Mota
36,Kings XI Punjab,RG Sharma,9,15,1,0,60.0,c KC Sangakkara b B Lee
