player,team,role,matches
PP Shaw,Delhi Capitals,batter,10
PVD Chameera,Lucknow Super Giants,all-rounder,12
PWH de Silva,Royal Challengers Bangalore,all-rounder,16
Q de Kock,Lucknow Super Giants,batter,15
R Ashwin,Rajasthan Royals,all-rounder,17
R Dhawan,Punjab Kings,all-rounder,6
R Parag,Rajasthan Royals,all-rounder,15
R Powell,Delhi Capitals,all-rounder,12
R Sai Kishore,Gujarat Titans,bowler,5
R Sanjay Yadav,Mumbai Indians,all-rounder,1
R Shepherd,Sunrisers Hyderabad,all-rounder,3
R Tewatia,Gujarat Titans,all-rounder,13
RA Bawa,Punjab Kings,batter,2
RA Jadeja,Chennai Super Kings,all-rounder,10
RA Tripathi,Sunrisers Hyderabad,batter,14
RD Chahar,Punjab Kings,all-rounder,13
RD Gaikwad,Chennai Super Kings,batter,14
RG Sharma,Mumbai Indians,batter,14
RK Singh,Kolkata Knight Riders,batter,7
RM Patidar,Royal Challengers Bangalore,batter,7
RP Meredith,Mumbai Indians,all-rounder,8
RR Pant,Delhi Capitals,batter,13
RV Patel,Delhi Capitals,batter,1
RV Uthappa,Chennai Super Kings,batter,11
Ramandeep Singh,Mumbai Indians,all-rounder,5
Rashid Khan,Gujarat Titans,all-rounder,16
Rasikh Salam,Kolkata Knight Riders,all-rounder,2
Ravi Bishnoi,Lucknow Super Giants,all-rounder,14
S Dhawan,Punjab Kings,batter,14
S Dube,Chennai Super Kings,all-rounder,11
S Gopal,Sunrisers Hyderabad,all-rounder,1
S Kaul,Royal Challengers Bangalore,bowler,1
SA Abbott,Sunrisers Hyderabad,all-rounder,1
SA Yadav,Mumbai Indians,batter,8
SE Rutherford,Royal Challengers Bangalore,batter,2
SN Khan,Delhi Capitals,batter,5
SN Thakur,Delhi Capitals,all-rounder,14
SO Hetmyer,Rajasthan Royals,batter,15
SP Jackson,Kolkata Knight Riders,batter,5
SP Narine,Kolkata Knight Riders,all-rounder,14
SS Iyer,Kolkata Knight Riders,all-rounder,14
SS Prabhudessai,Royal Challengers Bangalore,batter,5
SV Samson,Rajasthan Royals,batter,17
SW Billings,Kolkata Knight Riders,batter,8
Sandeep Sharma,Punjab Kings,bowler,5
Shahbaz Ahmed,Royal Challengers Bangalore,all-rounder,16
Shashank Singh,Sunrisers Hyderabad,all-rounder,6
Shivam Mavi,Kolkata Knight Riders,all-rounder,6
Shubman Gill,Gujarat Titans,batter,16
Simarjeet Singh,Chennai Super Kings,all-rounder,6
T Natarajan,Sunrisers Hyderabad,bowler,11
T Stubbs,Mumbai Indians,batter,2
TA Boult,Rajasthan Royals,all-rounder,16
TG Southee,Kolkata Knight Riders,all-rounder,9
TH David,Mumbai Indians,batter,8
TL Seifert,Delhi Capitals,batter,2
TS Mills,Mumbai Indians,all-rounder,5
TU Deshpande,Chennai Super Kings,bowler,2
Tilak Varma,Mumbai Indians,all-rounder,14
UT Yadav,Kolkata Knight Riders,all-rounder,12
Umran Malik,Sunrisers Hyderabad,all-rounder,14
V Kohli,Royal Challengers Bangalore,batter,16
V Shankar,Gujarat Titans,all-rounder,4
VG Arora,Punjab Kings,all-rounder,5
VR Aaron,Gujarat Titans,bowler,2
VR Iyer,Kolkata Knight Riders,all-rounder,12
WP Saha,Gujarat Titans,batter,11
Washington Sundar,Sunrisers Hyderabad,all-rounder,9
YBK Jaiswal,Rajasthan Royals,all-rounder,10
YS Chahal,Rajasthan Royals,all-rounder,17
Yash Dayal,Gujarat Titans,all-rounder,9
