player,team,role,matches
Shahbaz Ahmed,Lucknow Super Giants,all-rounder,1
Shashank Singh,Punjab Kings,all-rounder,6
Shivang Kumar,Sunrisers Hyderabad,all-rounder,7
Shubman Gill,Gujarat Titans,batter,8
Suryansh Shedge,Punjab Kings,batter,1
Suyash Sharma,Royal Challengers Bengaluru,bowler,8
T Natarajan,Delhi Capitals,all-rounder,8
T Stubbs,Delhi Capitals,batter,7
TA Boult,Mumbai Indians,all-rounder,4
TH David,Royal Challengers Bengaluru,all-rounder,8
TL Seifert,Kolkata Knight Riders,batter,3
TM Head,Sunrisers Hyderabad,batter,9
TU Deshpande,Rajasthan Royals,all-rounder,4
Tilak Varma,Mumbai Indians,batter,8
Urvil Patel,Chennai Super Kings,batter,1
V Kohli,Royal Challengers Bengaluru,batter,9
V Nigam,Delhi Capitals,all-rounder,4
V Suryavanshi,Rajasthan Royals,batter,9
VG Arora,Kolkata Knight Riders,all-rounder,7
VR Iyer,Royal Challengers Bengaluru,batter,2
Vijaykumar Vyshak,Punjab Kings,bowler,6
WG Jacks,Mumbai Indians,all-rounder,1
Washington Sundar,Gujarat Titans,all-rounder,9
XC Bartlett,Punjab Kings,all-rounder,7
YBK Jaiswal,Rajasthan Royals,batter,9
YS Chahal,Punjab Kings,bowler,7
Yash Raj Punja,Rajasthan Royals,bowler,2
