player,team,role,matches
Umar Gul,Kolkata Knight Riders,all-rounder,6
V Kohli,Royal Challengers Bangalore,all-rounder,12
V Sehwag,Delhi Daredevils,all-rounder,14
VRV Singh,Kings XI Punjab,all-rounder,13
VS Yeligati,Mumbai Indians,all-rounder,2
VVS Laxman,Deccan Chargers,batter,6
VY Mahesh,Delhi Daredevils,all-rounder,11
W Jaffer,Royal Challengers Bangalore,batter,6
WA Mota,Kings XI Punjab,all-rounder,3
WP Saha,Kolkata Knight Riders,batter,10
WPUJC Vaas,Deccan Chargers,all-rounder,5
Y Venugopal Rao,Deccan Chargers,all-rounder,10
YK Pathan,Rajasthan Royals,all-rounder,16
YV Takawale,Mumbai Indians,batter,4
Younis Khan,Rajasthan Royals,batter,1
Yuvraj Singh,Kings XI Punjab,all-rounder,15
Z Khan,Royal Challengers Bangalore,all-rounder,11
