player,team,role,matches
TH David,Royal Challengers Bangalore,batter,1
TK Curran,Delhi Capitals,all-rounder,3
TL Seifert,Kolkata Knight Riders,batter,1
Umran Malik,Sunrisers Hyderabad,bowler,3
V Kohli,Royal Challengers Bangalore,batter,15
V Shankar,Sunrisers Hyderabad,all-rounder,6
VR Iyer,Kolkata Knight Riders,all-rounder,10
Virat Singh,Sunrisers Hyderabad,batter,2
WP Saha,Sunrisers Hyderabad,batter,9
Washington Sundar,Royal Challengers Bangalore,all-rounder,6
YBK Jaiswal,Rajasthan Royals,batter,10
YS Chahal,Royal Challengers Bangalore,all-rounder,15
