player,team,role,matches
M Jansen,Sunrisers Hyderabad,all-rounder,3
M Markande,Sunrisers Hyderabad,bowler,7
M Pathirana,Chennai Super Kings,bowler,6
M Shahrukh Khan,Gujarat Titans,all-rounder,7
M Siddharth,Lucknow Super Giants,bowler,3
M Theekshana,Chennai Super Kings,bowler,5
MA Agarwal,Sunrisers Hyderabad,batter,4
MA Starc,Kolkata Knight Riders,all-rounder,13
MJ Henry,Lucknow Super Giants,bowler,4
MJ Santner,Chennai Super Kings,all-rounder,3
MJ Suthar,Gujarat Titans,all-rounder,1
MK Lomror,Royal Challengers Bengaluru,all-rounder,10
MK Pandey,Kolkata Knight Riders,batter,1
MM Ali,Chennai Super Kings,all-rounder,7
MM Sharma,Gujarat Titans,all-rounder,12
MP Stoinis,Lucknow Super Giants,all-rounder,14
MP Yadav,Lucknow Super Giants,bowler,4
MR Marsh,Delhi Capitals,all-rounder,4
MS Dhoni,Chennai Super Kings,batter,11
MS Wade,Gujarat Titans,batter,1
Mayank Dagar,Royal Challengers Bengaluru,all-rounder,5
Mohammad Nabi,Mumbai Indians,all-rounder,7
Mohammed Siraj,Royal Challengers Bengaluru,all-rounder,14
Mohsin Khan,Lucknow Super Giants,all-rounder,10
Mukesh Choudhary,Chennai Super Kings,bowler,1
Mukesh Kumar,Delhi Capitals,all-rounder,10
Mustafizur Rahman,Chennai Super Kings,bowler,9
N Burger,Rajasthan Royals,bowler,5
N Pooran,Lucknow Super Giants,batter,14
N Rana,Kolkata Knight Riders,batter,2
N Thushara,Mumbai Indians,bowler,7
N Wadhera,Mumbai Indians,all-rounder,6
NT Ellis,Punjab Kings,bowler,1
Naman Dhir,Mumbai Indians,all-rounder,7
Naveen-ul-Haq,Lucknow Super Giants,all-rounder,10
Nithish Kumar Reddy,Sunrisers Hyderabad,all-rounder,11
Noor Ahmad,Gujarat Titans,all-rounder,10
P Simran Singh,Punjab Kings,batter,14
PD Salt,Kolkata Knight Riders,batter,12
PJ Cummins,Sunrisers Hyderabad,all-rounder,16
PP Chawla,Mumbai Indians,all-rounder,11
PP Shaw,Delhi Capitals,batter,8
PVD Chameera,Kolkata Knight Riders,bowler,1
Q de Kock,Lucknow Super Giants,batter,11
R Ashwin,Rajasthan Royals,all-rounder,14
R Dhawan,Punjab Kings,bowler,1
R Parag,Rajasthan Royals,all-rounder,14
R Powell,Rajasthan Royals,batter,7
R Ravindra,Chennai Super Kings,all-rounder,10
R Sai Kishore,Gujarat Titans,all-rounder,5
R Shepherd,Mumbai Indians,all-rounder,6
R Tewatia,Gujarat Titans,batter,9
RA Jadeja,Chennai Super Kings,all-rounder,14
RA Tripathi,Sunrisers Hyderabad,batter,6
RD Chahar,Punjab Kings,all-rounder,9
RD Gaikwad,Chennai Super Kings,batter,14
RG Sharma,Mumbai Indians,batter,14
RJ Gleeson,Chennai Super Kings,all-rounder,2
RJW Topley,Royal Challengers Bengaluru,all-rounder,4
RK Bhui,Delhi Capitals,batter,2
RK Singh,Kolkata Knight Riders,batter,11
RM Patidar,Royal Challengers Bengaluru,batter,13
RR Pant,Delhi Capitals,batter,13
RR Rossouw,Punjab Kings,batter,8
Rahmanullah Gurbaz,Kolkata Knight Riders,batter,2
Ramandeep Singh,Kolkata Knight Riders,all-rounder,9
Rashid Khan,Gujarat Titans,all-rounder,12
Rasikh Salam,Delhi Capitals,all-rounder,8
Ravi Bishnoi,Lucknow Super Giants,all-rounder,14
S Dhawan,Punjab Kings,batter,5
S Dube,Chennai Super Kings,all-rounder,14
S Gopal,Mumbai Indians,bowler,3
S Joseph,Lucknow Super Giants,bowler,1
S Sandeep Warrier,Gujarat Titans,bowler,5
SA Yadav,Mumbai Indians,batter,11
SB Dubey,Rajasthan Royals,batter,3
SD Hope,Delhi Capitals,batter,9
SH Johnson,Gujarat Titans,all-rounder,5
SM Curran,Punjab Kings,all-rounder,13
SN Thakur,Chennai Super Kings,all-rounder,9
SO Hetmyer,Rajasthan Royals,batter,9
SP Narine,Kolkata Knight Riders,all-rounder,14
SS Iyer,Kolkata Knight Riders,batter,14
SS Prabhudessai,Royal Challengers Bengaluru,batter,1
SV Samson,Rajasthan Royals,batter,15
SZ Mulani,Mumbai Indians,all-rounder,2
Sameer Rizvi,Chennai Super Kings,batter,5
Sandeep Sharma,Rajasthan Royals,bowler,10
Sanvir Singh,Sunrisers Hyderabad,batter,3
Saurav Chauhan,Royal Challengers Bengaluru,batter,3
Shahbaz Ahmed,Sunrisers Hyderabad,all-rounder,16
Shashank Singh,Punjab Kings,all-rounder,14
Shivam Singh,Punjab Kings,batter,1
Shubman Gill,Gujarat Titans,batter,12
Sikandar Raza,Punjab Kings,all-rounder,2
Simarjeet Singh,Chennai Super Kings,bowler,4
Sumit Kumar,Delhi Capitals,all-rounder,3
Suyash Sharma,Kolkata Knight Riders,bowler,2
Swapnil Singh,Royal Challengers Bengaluru,all-rounder,7
T Kohler-Cadmore,Rajasthan Royals,batter,3
T Natarajan,Sunrisers Hyderabad,bowler,14
T Stubbs,Delhi Capitals,all-rounder,14
TA Boult,Rajasthan Royals,all-rounder,15
TH David,Mumbai Indians,batter,11
TM Head,Sunrisers Hyderabad,all-rounder,15
TU Deshpande,Chennai Super Kings,all-rounder,13
Tanay Thyagarajan,Punjab Kings,batter,0
Tanush Kotian,Rajasthan Royals,batter,1
Tilak Varma,Mumbai Indians,all-rounder,13
UT Yadav,Gujarat Titans,all-rounder,7
Umran Malik,Sunrisers Hyderabad,bowler,1
V Kaverappa,Punjab Kings,bowler,1
V Kohli,Royal Challengers Bengaluru,batter,15
V Shankar,Gujarat Titans,batter,7
V Viyaskanth,Sunrisers Hyderabad,all-rounder,3
VG Arora,Kolkata Knight Riders,all-rounder,10
VR Iyer,Kolkata Knight Riders,all-rounder,13
Vijaykumar Vyshak,Royal Challengers Bengaluru,all-rounder,4
WG Jacks,Royal Challengers Bengaluru,all-rounder,8
WP Saha,Gujarat Titans,batter,9
Washington Sundar,Sunrisers Hyderabad,all-rounder,2
YBK Jaiswal,Rajasthan Royals,batter,15
YS Chahal,Rajasthan Royals,bowler,15
Yash Dayal,Royal Challengers Bengaluru,bowler,14
Yash Thakur,Lucknow Super Giants,bowler,10
Yudhvir Singh,Lucknow Super Giants,all-rounder,2
