player,team,role,matches
N Rana,Kolkata Knight Riders,all-rounder,15
NV Ojha,Delhi Daredevils,batter,1
P Chopra,Rajasthan Royals,batter,1
P Negi,Royal Challengers Bangalore,all-rounder,2
PA Patel,Royal Challengers Bangalore,batter,6
PJ Sangwan,Mumbai Indians,all-rounder,1
PP Chawla,Kolkata Knight Riders,all-rounder,15
PP Shaw,Delhi Daredevils,batter,9
Q de Kock,Royal Challengers Bangalore,batter,8
R Ashwin,Kings XI Punjab,all-rounder,14
R Tewatia,Delhi Daredevils,all-rounder,8
R Vinay Kumar,Kolkata Knight Riders,all-rounder,2
RA Jadeja,Chennai Super Kings,all-rounder,15
RA Tripathi,Rajasthan Royals,batter,12
RD Chahar,Mumbai Indians,batter,0
RG Sharma,Mumbai Indians,batter,14
RK Bhui,Sunrisers Hyderabad,batter,1
RK Singh,Kolkata Knight Riders,batter,4
RR Pant,Delhi Daredevils,batter,14
RV Uthappa,Kolkata Knight Riders,batter,16
Rashid Khan,Sunrisers Hyderabad,all-rounder,17
S Dhawan,Sunrisers Hyderabad,batter,16
S Gopal,Rajasthan Royals,all-rounder,10
S Kaul,Sunrisers Hyderabad,all-rounder,17
S Lamichhane,Delhi Daredevils,bowler,3
S Nadeem,Delhi Daredevils,all-rounder,6
SA Yadav,Mumbai Indians,batter,14
SK Raina,Chennai Super Kings,batter,15
SN Khan,Royal Challengers Bangalore,batter,6
SN Thakur,Chennai Super Kings,all-rounder,13
SP Goswami,Sunrisers Hyderabad,batter,3
SP Narine,Kolkata Knight Riders,all-rounder,16
SR Watson,Chennai Super Kings,all-rounder,15
SS Iyer,Delhi Daredevils,batter,13
STR Binny,Rajasthan Royals,all-rounder,5
SV Samson,Rajasthan Royals,batter,15
SW Billings,Chennai Super Kings,batter,8
Sandeep Sharma,Sunrisers Hyderabad,all-rounder,12
Shakib Al Hasan,Sunrisers Hyderabad,all-rounder,17
Shivam Mavi,Kolkata Knight Riders,all-rounder,9
Shubman Gill,Kolkata Knight Riders,batter,10
TA Boult,Delhi Daredevils,all-rounder,14
TG Southee,Royal Challengers Bangalore,all-rounder,8
TK Curran,Kolkata Knight Riders,all-rounder,5
UT Yadav,Royal Challengers Bangalore,all-rounder,14
V Kohli,Royal Challengers Bangalore,batter,14
V Shankar,Delhi Daredevils,all-rounder,11
WP Saha,Sunrisers Hyderabad,batter,10
Washington Sundar,Royal Challengers Bangalore,all-rounder,7
YK Pathan,Sunrisers Hyderabad,all-rounder,13
YS Chahal,Royal Challengers Bangalore,all-rounder,14
Yuvraj Singh,Kings XI Punjab,all-rounder,7
