player,team,role,matches
SP Narine,Kolkata Knight Riders,all-rounder,8
SPD Smith,Rajasthan Royals,batter,12
SR Watson,Rajasthan Royals,all-rounder,10
SS Iyer,Delhi Daredevils,batter,14
SS Tiwary,Delhi Daredevils,batter,6
STR Binny,Rajasthan Royals,all-rounder,13
SV Samson,Rajasthan Royals,batter,11
Sandeep Sharma,Kings XI Punjab,all-rounder,14
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,4
Shivam Sharma,Kings XI Punjab,bowler,1
TA Boult,Sunrisers Hyderabad,bowler,7
TG Southee,Rajasthan Royals,all-rounder,7
UBT Chand,Mumbai Indians,batter,5
UT Yadav,Kolkata Knight Riders,all-rounder,12
V Kohli,Royal Challengers Bangalore,all-rounder,16
V Sehwag,Kings XI Punjab,batter,8
VR Aaron,Royal Challengers Bangalore,all-rounder,5
WP Saha,Kings XI Punjab,batter,13
YK Pathan,Kolkata Knight Riders,all-rounder,13
YS Chahal,Royal Challengers Bangalore,all-rounder,14
Yuvraj Singh,Delhi Daredevils,all-rounder,13
Z Khan,Delhi Daredevils,bowler,7
