player,team,role,matches
Mohammed Siraj,Royal Challengers Bangalore,all-rounder,9
Mujeeb Ur Rahman,Kings XI Punjab,all-rounder,5
N Pooran,Kings XI Punjab,batter,6
N Rana,Kolkata Knight Riders,all-rounder,12
NS Naik,Kolkata Knight Riders,batter,1
Navdeep Saini,Royal Challengers Bangalore,all-rounder,13
O Thomas,Rajasthan Royals,bowler,4
P Chopra,Rajasthan Royals,batter,0
P Negi,Royal Challengers Bangalore,all-rounder,5
P Ray Barman,Royal Challengers Bangalore,all-rounder,1
P Simran Singh,Kings XI Punjab,batter,1
PA Patel,Royal Challengers Bangalore,batter,14
PP Chawla,Kolkata Knight Riders,all-rounder,13
PP Shaw,Delhi Capitals,batter,16
Q de Kock,Mumbai Indians,batter,16
R Ashwin,Kings XI Punjab,all-rounder,14
R Parag,Rajasthan Royals,all-rounder,7
R Tewatia,Delhi Capitals,all-rounder,4
RA Jadeja,Chennai Super Kings,all-rounder,16
RA Tripathi,Rajasthan Royals,batter,7
RD Chahar,Mumbai Indians,all-rounder,13
RG Sharma,Mumbai Indians,batter,15
RK Bhui,Sunrisers Hyderabad,batter,1
RK Singh,Kolkata Knight Riders,batter,3
RR Pant,Delhi Capitals,batter,16
RV Uthappa,Kolkata Knight Riders,batter,11
Rashid Khan,Sunrisers Hyderabad,all-rounder,15
Rasikh Salam,Mumbai Indians,all-rounder,1
S Dhawan,Delhi Capitals,batter,16
S Dube,Royal Challengers Bangalore,all-rounder,4
S Gopal,Rajasthan Royals,all-rounder,14
S Kaul,Sunrisers Hyderabad,all-rounder,7
S Lamichhane,Delhi Capitals,all-rounder,6
S Midhun,Rajasthan Royals,bowler,1
S Nadeem,Sunrisers Hyderabad,bowler,3
S Sandeep Warrier,Kolkata Knight Riders,bowler,3
SA Yadav,Mumbai Indians,batter,15
SC Kuggeleijn,Chennai Super Kings,bowler,2
SD Lad,Mumbai Indians,batter,1
SE Rutherford,Delhi Capitals,all-rounder,7
SK Raina,Chennai Super Kings,all-rounder,17
SL Malinga,Mumbai Indians,bowler,12
SM Curran,Kings XI Punjab,all-rounder,9
SN Khan,Kings XI Punjab,all-rounder,5
SN Thakur,Chennai Super Kings,all-rounder,9
SO Hetmyer,Royal Challengers Bangalore,batter,5
SP Narine,Kolkata Knight Riders,all-rounder,12
SPD Smith,Rajasthan Royals,batter,10
SR Watson,Chennai Super Kings,batter,17
SS Iyer,Delhi Capitals,batter,16
STR Binny,Rajasthan Royals,all-rounder,7
SV Samson,Rajasthan Royals,batter,12
SW Billings,Chennai Super Kings,batter,1
Sandeep Sharma,Sunrisers Hyderabad,all-rounder,11
Shakib Al Hasan,Sunrisers Hyderabad,all-rounder,3
Shubman Gill,Kolkata Knight Riders,batter,13
TA Boult,Delhi Capitals,all-rounder,5
TG Southee,Royal Challengers Bangalore,all-rounder,3
UT Yadav,Royal Challengers Bangalore,all-rounder,11
V Kohli,Royal Challengers Bangalore,batter,14
V Shankar,Sunrisers Hyderabad,all-rounder,14
VR Aaron,Rajasthan Royals,all-rounder,5
WP Saha,Sunrisers Hyderabad,batter,5
Washington Sundar,Royal Challengers Bangalore,all-rounder,3
Y Prithvi Raj,Kolkata Knight Riders,all-rounder,2
YK Pathan,Sunrisers Hyderabad,all-rounder,7
YS Chahal,Royal Challengers Bangalore,all-rounder,14
Yuvraj Singh,Mumbai Indians,batter,4
