player,team,role,matches
I Sharma,Rising Pune Supergiants,bowler,4
IK Pathan,Rising Pune Supergiants,all-rounder,4
Imran Tahir,Delhi Daredevils,all-rounder,4
Iqbal Abdulla,Royal Challengers Bangalore,all-rounder,8
Ishan Kishan,Gujarat Lions,batter,5
J Suchith,Mumbai Indians,bowler,1
J Yadav,Delhi Daredevils,all-rounder,5
JA Morkel,Rising Pune Supergiants,all-rounder,2
JC Buttler,Mumbai Indians,batter,14
JD Unadkat,Kolkata Knight Riders,bowler,1
JJ Bumrah,Mumbai Indians,all-rounder,14
JO Holder,Kolkata Knight Riders,all-rounder,4
JP Duminy,Delhi Daredevils,all-rounder,9
JP Faulkner,Gujarat Lions,all-rounder,7
JW Hastings,Kolkata Knight Riders,bowler,2
KA Pollard,Mumbai Indians,all-rounder,12
KC Cariappa,Kings XI Punjab,all-rounder,5
KD Karthik,Gujarat Lions,batter,15
KH Pandya,Mumbai Indians,all-rounder,12
KJ Abbott,Kings XI Punjab,all-rounder,5
KK Nair,Delhi Daredevils,batter,12
KL Rahul,Royal Challengers Bangalore,batter,12
KM Jadhav,Royal Challengers Bangalore,batter,3
KP Pietersen,Rising Pune Supergiants,batter,4
KS Williamson,Sunrisers Hyderabad,all-rounder,6
KV Sharma,Sunrisers Hyderabad,all-rounder,5
KW Richardson,Royal Challengers Bangalore,all-rounder,4
Kuldeep Yadav,Kolkata Knight Riders,bowler,3
LMP Simmons,Mumbai Indians,batter,1
M Ashwin,Rising Pune Supergiants,all-rounder,10
M Morkel,Kolkata Knight Riders,all-rounder,10
M Vijay,Kings XI Punjab,all-rounder,14
M Vohra,Kings XI Punjab,batter,7
MA Agarwal,Delhi Daredevils,batter,3
MC Henriques,Sunrisers Hyderabad,all-rounder,17
MG Johnson,Kings XI Punjab,all-rounder,3
MJ Guptill,Mumbai Indians,batter,3
MJ McClenaghan,Mumbai Indians,all-rounder,14
MK Pandey,Kolkata Knight Riders,batter,11
MM Sharma,Kings XI Punjab,all-rounder,14
MP Stoinis,Kings XI Punjab,all-rounder,7
MR Marsh,Rising Pune Supergiants,all-rounder,3
MS Dhoni,Rising Pune Supergiants,batter,12
Mandeep Singh,Royal Challengers Bangalore,batter,0
Mohammed Shami,Delhi Daredevils,all-rounder,8
Mustafizur Rahman,Sunrisers Hyderabad,bowler,16
N Rana,Mumbai Indians,all-rounder,4
NLTC Perera,Rising Pune Supergiants,all-rounder,12
NM Coulter-Nile,Delhi Daredevils,all-rounder,4
NS Naik,Kings XI Punjab,batter,2
NV Ojha,Sunrisers Hyderabad,batter,13
P Kumar,Gujarat Lions,all-rounder,16
P Negi,Delhi Daredevils,all-rounder,7
P Sahu,Kings XI Punjab,all-rounder,5
PA Patel,Mumbai Indians,batter,10
PJ Sangwan,Gujarat Lions,bowler,2
PP Chawla,Kolkata Knight Riders,all-rounder,12
PSP Handscomb,Rising Pune Supergiants,batter,1
PV Tambe,Gujarat Lions,all-rounder,7
Parvez Rasool,Royal Challengers Bangalore,all-rounder,4
Q de Kock,Delhi Daredevils,batter,13
R Ashwin,Rising Pune Supergiants,all-rounder,14
R Bhatia,Rising Pune Supergiants,all-rounder,10
R Dhawan,Kings XI Punjab,all-rounder,2
R Sathish,Kolkata Knight Riders,all-rounder,4
R Vinay Kumar,Mumbai Indians,all-rounder,3
RA Jadeja,Gujarat Lions,all-rounder,15
RG Sharma,Mumbai Indians,batter,14
RP Singh,Rising Pune Supergiants,bowler,4
RR Pant,Delhi Daredevils,batter,10
RV Uthappa,Kolkata Knight Riders,batter,15
S Aravind,Royal Challengers Bangalore,bowler,9
S Dhawan,Sunrisers Hyderabad,batter,17
S Gopal,Mumbai Indians,all-rounder,1
S Kaushik,Gujarat Lions,all-rounder,7
S Ladda,Gujarat Lions,bowler,1
S Nadeem,Delhi Daredevils,all-rounder,4
SA Yadav,Kolkata Knight Riders,batter,11
SB Jakati,Gujarat Lions,all-rounder,6
SE Marsh,Kings XI Punjab,batter,6
SK Raina,Gujarat Lions,all-rounder,15
SM Boland,Rising Pune Supergiants,bowler,2
SN Khan,Royal Challengers Bangalore,batter,4
SP Narine,Kolkata Knight Riders,all-rounder,11
SPD Smith,Rising Pune Supergiants,batter,7
SR Watson,Royal Challengers Bangalore,all-rounder,16
SS Iyer,Delhi Daredevils,batter,6
SS Tiwary,Rising Pune Supergiants,batter,7
STR Binny,Royal Challengers Bangalore,all-rounder,12
SV Samson,Delhi Daredevils,batter,14
SW Billings,Delhi Daredevils,batter,4
Sachin Baby,Royal Challengers Bangalore,all-rounder,8
Sandeep Sharma,Kings XI Punjab,all-rounder,14
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,10
Swapnil Singh,Kings XI Punjab,all-rounder,1
T Shamsi,Royal Challengers Bangalore,bowler,4
TA Boult,Sunrisers Hyderabad,bowler,1
TG Southee,Mumbai Indians,all-rounder,11
TM Head,Royal Challengers Bangalore,batter,3
UBT Chand,Mumbai Indians,batter,1
UT Khawaja,Rising Pune Supergiants,batter,6
UT Yadav,Kolkata Knight Riders,all-rounder,9
V Kohli,Royal Challengers Bangalore,all-rounder,16
V Shankar,Sunrisers Hyderabad,batter,0
VR Aaron,Royal Challengers Bangalore,bowler,8
WP Saha,Kings XI Punjab,batter,12
YK Pathan,Kolkata Knight Riders,all-rounder,13
YS Chahal,Royal Challengers Bangalore,bowler,13
Yuvraj Singh,Sunrisers Hyderabad,all-rounder,10
Z Khan,Delhi Daredevils,all-rounder,12
