innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,9,6,TM Head,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,True,caught,TM Head,C Green,middle
1,Sunrisers Hyderabad,10,1,Ishan Kishan,SP Narine,H Klaasen,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,2,Ishan Kishan,SP Narine,H Klaasen,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,3,H Klaasen,SP Narine,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,4,H Klaasen,SP Narine,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,5,H Klaasen,SP Narine,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,10,6,H Klaasen,SP Narine,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,11,1,H Klaasen,C Green,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,11,2,H Klaasen,C Green,Ishan Kishan,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,11,3,H Klaasen,C Green,Ishan Kishan,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,11,4,H Klaasen,C Green,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,True,caught,H Klaasen,R Powell,middle
1,Sunrisers Hyderabad,11,5,R Smaran,C Green,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,11,6,R Smaran,C Green,Ishan Kishan,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,12,1,Ishan Kishan,CV Varun,R Smaran,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,12,2,R Smaran,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,12,3,R Smaran,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,True,caught,R Smaran,AM Rahane,middle
1,Sunrisers Hyderabad,12,4,Aniket Verma,CV Varun,Ishan Kishan,0,1,1,False,False,byes,0,0,1,0,0,False,,,,middle
1,Sunrisers Hyderabad,12,5,Ishan Kishan,CV Varun,Aniket Verma,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,12,6,Aniket Verma,CV Varun,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,1,Aniket Verma,C Green,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,2,Aniket Verma,C Green,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,3,Ishan Kishan,C Green,Aniket Verma,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,4.wides,Ishan Kishan,C Green,Aniket Verma,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,4,Ishan Kishan,C Green,Aniket Verma,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,5,Ishan Kishan,C Green,Aniket Verma,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,13,6,Ishan Kishan,C Green,Aniket Verma,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,14,1,Aniket Verma,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,14,2,Aniket Verma,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,14,3,Aniket Verma,CV Varun,Ishan Kishan,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,14,4,Aniket Verma,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,True,caught,Aniket Verma,AM Rahane,middle
1,Sunrisers Hyderabad,14,5,S Arora,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,14,6,S Arora,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,1,Ishan Kishan,Kartik Tyagi,S Arora,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,2,S Arora,Kartik Tyagi,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,3,S Arora,Kartik Tyagi,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,4,Ishan Kishan,Kartik Tyagi,S Arora,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,5,Ishan Kishan,Kartik Tyagi,S Arora,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,15,6,S Arora,Kartik Tyagi,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
