player,team,role,matches
M Markande,Sunrisers Hyderabad,all-rounder,10
M Pathirana,Chennai Super Kings,bowler,12
M Shahrukh Khan,Punjab Kings,batter,12
M Theekshana,Chennai Super Kings,bowler,13
M Vohra,Lucknow Super Giants,batter,1
MA Agarwal,Sunrisers Hyderabad,batter,10
MA Wood,Lucknow Super Giants,all-rounder,4
MD Shanaka,Gujarat Titans,batter,3
MG Bracewell,Royal Challengers Bangalore,all-rounder,5
MJ Santner,Chennai Super Kings,all-rounder,3
MK Lomror,Royal Challengers Bangalore,all-rounder,10
MK Pandey,Delhi Capitals,batter,9
MM Ali,Chennai Super Kings,all-rounder,13
MM Sharma,Gujarat Titans,all-rounder,14
MP Stoinis,Lucknow Super Giants,all-rounder,15
MR Marsh,Delhi Capitals,all-rounder,9
MS Dhoni,Chennai Super Kings,batter,12
MW Short,Punjab Kings,all-rounder,6
Mandeep Singh,Kolkata Knight Riders,batter,3
Mayank Dagar,Sunrisers Hyderabad,bowler,3
Mohammed Shami,Gujarat Titans,all-rounder,17
Mohammed Siraj,Royal Challengers Bangalore,all-rounder,14
Mohit Rathee,Punjab Kings,all-rounder,1
Mohsin Khan,Lucknow Super Giants,all-rounder,4
Mukesh Kumar,Delhi Capitals,all-rounder,10
Mustafizur Rahman,Delhi Capitals,all-rounder,2
N Jagadeesan,Kolkata Knight Riders,batter,6
N Pooran,Lucknow Super Giants,batter,15
N Rana,Kolkata Knight Riders,all-rounder,14
N Wadhera,Mumbai Indians,batter,10
NA Saini,Rajasthan Royals,bowler,1
NT Ellis,Punjab Kings,all-rounder,10
Navdeep Saini,Rajasthan Royals,bowler,1
Naveen-ul-Haq,Lucknow Super Giants,all-rounder,7
Nithish Kumar Reddy,Sunrisers Hyderabad,bowler,2
Noor Ahmad,Gujarat Titans,all-rounder,13
OC McCoy,Rajasthan Royals,bowler,1
P Dubey,Delhi Capitals,all-rounder,1
P Simran Singh,Punjab Kings,batter,14
PBB Rajapaksa,Punjab Kings,batter,4
PD Salt,Delhi Capitals,batter,9
PK Garg,Delhi Capitals,batter,2
PN Mankad,Lucknow Super Giants,batter,4
PP Chawla,Mumbai Indians,all-rounder,16
PP Shaw,Delhi Capitals,batter,8
PWH de Silva,Royal Challengers Bangalore,all-rounder,8
Q de Kock,Lucknow Super Giants,batter,4
R Ashwin,Rajasthan Royals,all-rounder,13
R Dhawan,Punjab Kings,all-rounder,5
R Goyal,Mumbai Indians,bowler,1
R Parag,Rajasthan Royals,batter,7
R Powell,Delhi Capitals,all-rounder,3
R Shepherd,Lucknow Super Giants,batter,1
R Tewatia,Gujarat Titans,all-rounder,10
RA Jadeja,Chennai Super Kings,all-rounder,16
RA Tripathi,Sunrisers Hyderabad,batter,13
RD Chahar,Punjab Kings,all-rounder,14
RD Gaikwad,Chennai Super Kings,batter,15
RG Sharma,Mumbai Indians,batter,16
RJW Topley,Royal Challengers Bangalore,bowler,1
RK Singh,Kolkata Knight Riders,batter,14
RP Meredith,Mumbai Indians,all-rounder,5
RR Rossouw,Delhi Capitals,batter,9
RS Hangargekar,Chennai Super Kings,bowler,2
RV Patel,Delhi Capitals,batter,4
Rahmanullah Gurbaz,Kolkata Knight Riders,batter,11
Ramandeep Singh,Mumbai Indians,batter,0
Rashid Khan,Gujarat Titans,all-rounder,17
Ravi Bishnoi,Lucknow Super Giants,all-rounder,14
S Dhawan,Punjab Kings,batter,11
S Dube,Chennai Super Kings,batter,14
SA Yadav,Mumbai Indians,batter,16
SK Rasheed,Chennai Super Kings,batter,0
SM Curran,Punjab Kings,all-rounder,14
SN Khan,Delhi Capitals,batter,4
SN Thakur,Kolkata Knight Riders,all-rounder,10
SO Hetmyer,Rajasthan Royals,batter,13
SP Narine,Kolkata Knight Riders,all-rounder,14
SS Prabhudessai,Royal Challengers Bangalore,batter,4
SSB Magala,Chennai Super Kings,bowler,2
SV Samson,Rajasthan Royals,batter,14
Sandeep Sharma,Rajasthan Royals,all-rounder,12
Sanvir Singh,Sunrisers Hyderabad,batter,2
Shahbaz Ahmed,Royal Challengers Bangalore,all-rounder,8
Shivam Mavi,Gujarat Titans,batter,0
Shubman Gill,Gujarat Titans,batter,17
Sikandar Raza,Punjab Kings,all-rounder,7
Sonu Yadav,Royal Challengers Bangalore,batter,0
Subhransu Senapati,Chennai Super Kings,batter,0
Suyash Sharma,Kolkata Knight Riders,bowler,11
Swapnil Singh,Lucknow Super Giants,all-rounder,2
T Natarajan,Sunrisers Hyderabad,bowler,12
T Stubbs,Mumbai Indians,all-rounder,2
TA Boult,Rajasthan Royals,all-rounder,10
TG Southee,Kolkata Knight Riders,bowler,2
TH David,Mumbai Indians,batter,15
TU Deshpande,Chennai Super Kings,all-rounder,16
Tilak Varma,Mumbai Indians,all-rounder,11
UT Yadav,Kolkata Knight Riders,all-rounder,8
Umran Malik,Sunrisers Hyderabad,all-rounder,8
V Kohli,Royal Challengers Bangalore,batter,14
V Shankar,Gujarat Titans,batter,10
VG Arora,Kolkata Knight Riders,all-rounder,5
VR Iyer,Kolkata Knight Riders,batter,14
Vijaykumar Vyshak,Royal Challengers Bangalore,all-rounder,7
Vishnu Vinod,Mumbai Indians,batter,3
Vivrant Sharma,Sunrisers Hyderabad,all-rounder,2
WD Parnell,Royal Challengers Bangalore,all-rounder,7
WP Saha,Gujarat Titans,batter,17
Washington Sundar,Sunrisers Hyderabad,all-rounder,7
YBK Jaiswal,Rajasthan Royals,batter,14
YS Chahal,Rajasthan Royals,bowler,14
YV Dhull,Delhi Capitals,batter,3
Yash Dayal,Gujarat Titans,bowler,5
Yash Thakur,Lucknow Super Giants,bowler,9
Yudhvir Singh,Lucknow Super Giants,all-rounder,3
