player,team,role,matches
R Vinay Kumar,Royal Challengers Bangalore,all-rounder,16
RA Jadeja,Chennai Super Kings,all-rounder,18
RE van der Merwe,Delhi Daredevils,all-rounder,3
RG Sharma,Mumbai Indians,all-rounder,19
RJ Harris,Kings XI Punjab,all-rounder,3
RN ten Doeschate,Kolkata Knight Riders,all-rounder,4
RP Singh,Royal Challengers Bangalore,bowler,11
RT Ponting,Mumbai Indians,batter,5
RV Gomez,Pune Warriors,all-rounder,2
RV Uthappa,Pune Warriors,batter,16
S Anirudha,Chennai Super Kings,batter,1
S Badree,Rajasthan Royals,bowler,1
S Badrinath,Chennai Super Kings,batter,7
S Dhawan,Sunrisers Hyderabad,batter,10
S Kaul,Delhi Daredevils,all-rounder,6
S Ladda,Kolkata Knight Riders,bowler,1
S Nadeem,Delhi Daredevils,all-rounder,12
S Narwal,Kolkata Knight Riders,all-rounder,2
S Sreesanth,Rajasthan Royals,all-rounder,7
SE Marsh,Kings XI Punjab,batter,8
SK Raina,Chennai Super Kings,all-rounder,17
SK Trivedi,Rajasthan Royals,all-rounder,17
SL Malinga,Mumbai Indians,all-rounder,17
SMSM Senanayake,Kolkata Knight Riders,all-rounder,8
SP Narine,Kolkata Knight Riders,all-rounder,16
SPD Smith,Pune Warriors,batter,7
SR Tendulkar,Mumbai Indians,batter,14
SR Watson,Rajasthan Royals,all-rounder,16
SS Tiwary,Royal Challengers Bangalore,batter,6
STR Binny,Rajasthan Royals,all-rounder,17
SV Samson,Rajasthan Royals,batter,10
SW Tait,Rajasthan Royals,all-rounder,3
Sachin Baby,Rajasthan Royals,batter,1
Sandeep Sharma,Kings XI Punjab,all-rounder,4
TL Suman,Pune Warriors,all-rounder,5
TM Dilshan,Royal Challengers Bangalore,all-rounder,5
UA Birla,Pune Warriors,batter,1
UBT Chand,Delhi Daredevils,batter,9
UT Yadav,Delhi Daredevils,all-rounder,16
V Kohli,Royal Challengers Bangalore,batter,16
V Sehwag,Delhi Daredevils,all-rounder,13
VS Malik,Rajasthan Royals,bowler,3
WD Parnell,Pune Warriors,all-rounder,4
WP Saha,Chennai Super Kings,batter,3
X Thalaivan Sargunam,Sunrisers Hyderabad,batter,1
YK Pathan,Kolkata Knight Riders,all-rounder,16
YS Chahal,Mumbai Indians,bowler,1
Yuvraj Singh,Pune Warriors,all-rounder,13
Z Khan,Royal Challengers Bangalore,bowler,2
