player,team,role,matches
Mohammed Shami,Sunrisers Hyderabad,all-rounder,9
Mohammed Siraj,Gujarat Titans,all-rounder,15
Mujeeb Ur Rahman,Mumbai Indians,bowler,1
Mukesh Choudhary,Chennai Super Kings,bowler,2
Mukesh Kumar,Delhi Capitals,bowler,12
Musheer Khan,Punjab Kings,all-rounder,1
Mustafizur Rahman,Delhi Capitals,all-rounder,3
N Pooran,Lucknow Super Giants,batter,14
N Rana,Rajasthan Royals,all-rounder,11
N Thushara,Royal Challengers Bengaluru,bowler,1
N Wadhera,Punjab Kings,all-rounder,15
NT Ellis,Chennai Super Kings,bowler,1
Naman Dhir,Mumbai Indians,all-rounder,12
Nithish Kumar Reddy,Sunrisers Hyderabad,all-rounder,12
Noor Ahmad,Chennai Super Kings,all-rounder,14
P Dubey,Punjab Kings,bowler,1
P Simran Singh,Punjab Kings,batter,18
PD Salt,Royal Challengers Bengaluru,batter,13
PHKD Mendis,Sunrisers Hyderabad,all-rounder,5
PJ Cummins,Sunrisers Hyderabad,all-rounder,14
PVD Chameera,Delhi Capitals,all-rounder,6
PVSN Raju,Mumbai Indians,all-rounder,2
PWA Mulder,Sunrisers Hyderabad,all-rounder,1
PWH de Silva,Rajasthan Royals,all-rounder,11
Prince Yadav,Lucknow Super Giants,all-rounder,6
Priyansh Arya,Punjab Kings,batter,18
Q de Kock,Kolkata Knight Riders,batter,8
R Ashwin,Chennai Super Kings,all-rounder,9
R Minz,Mumbai Indians,batter,2
R Parag,Rajasthan Royals,all-rounder,14
R Powell,Kolkata Knight Riders,batter,1
R Ravindra,Chennai Super Kings,batter,8
R Sai Kishore,Gujarat Titans,all-rounder,15
R Shepherd,Royal Challengers Bengaluru,all-rounder,7
R Tewatia,Gujarat Titans,batter,12
RA Bawa,Mumbai Indians,batter,1
RA Jadeja,Chennai Super Kings,all-rounder,14
RA Tripathi,Chennai Super Kings,batter,5
RD Chahar,Sunrisers Hyderabad,bowler,1
RD Gaikwad,Chennai Super Kings,batter,5
RD Rickelton,Mumbai Indians,batter,14
RG Sharma,Mumbai Indians,batter,15
RJ Gleeson,Mumbai Indians,bowler,1
RJW Topley,Mumbai Indians,bowler,1
RK Singh,Kolkata Knight Riders,batter,11
RM Patidar,Royal Challengers Bengaluru,batter,14
RR Pant,Lucknow Super Giants,batter,13
Rahmanullah Gurbaz,Kolkata Knight Riders,batter,5
Ramandeep Singh,Kolkata Knight Riders,batter,7
Rashid Khan,Gujarat Titans,all-rounder,15
Rasikh Salam,Royal Challengers Bengaluru,bowler,2
Ravi Bishnoi,Lucknow Super Giants,all-rounder,11
S Dube,Chennai Super Kings,all-rounder,14
SA Yadav,Mumbai Indians,batter,16
SB Dubey,Rajasthan Royals,batter,8
SE Rutherford,Gujarat Titans,batter,11
SH Johnson,Kolkata Knight Riders,all-rounder,4
SK Rasheed,Chennai Super Kings,batter,5
SM Curran,Chennai Super Kings,all-rounder,5
SN Thakur,Lucknow Super Giants,all-rounder,10
SO Hetmyer,Rajasthan Royals,batter,13
SP Narine,Kolkata Knight Riders,all-rounder,12
SS Iyer,Punjab Kings,batter,17
SV Samson,Rajasthan Royals,batter,9
Sameer Rizvi,Delhi Capitals,batter,4
Sandeep Sharma,Rajasthan Royals,all-rounder,10
Sediqullah Atal,Delhi Capitals,batter,1
Shahbaz Ahmed,Lucknow Super Giants,all-rounder,3
Shashank Singh,Punjab Kings,all-rounder,14
Shubman Gill,Gujarat Titans,batter,15
Simarjeet Singh,Sunrisers Hyderabad,all-rounder,4
Suryansh Shedge,Punjab Kings,all-rounder,3
Suyash Sharma,Royal Challengers Bengaluru,bowler,14
T Natarajan,Delhi Capitals,bowler,2
T Stubbs,Delhi Capitals,all-rounder,13
T Vijay,Delhi Capitals,batter,0
TA Boult,Mumbai Indians,all-rounder,16
TH David,Royal Challengers Bengaluru,batter,9
TM Head,Sunrisers Hyderabad,batter,12
TU Deshpande,Rajasthan Royals,all-rounder,10
Tilak Varma,Mumbai Indians,batter,13
Urvil Patel,Chennai Super Kings,batter,3
V Kohli,Royal Challengers Bengaluru,batter,15
V Nigam,Delhi Capitals,all-rounder,14
V Puthur,Mumbai Indians,bowler,5
V Shankar,Chennai Super Kings,batter,5
V Suryavanshi,Rajasthan Royals,batter,7
VG Arora,Kolkata Knight Riders,all-rounder,12
VR Iyer,Kolkata Knight Riders,batter,7
Vijaykumar Vyshak,Punjab Kings,bowler,5
W O'Rourke,Lucknow Super Giants,bowler,3
WG Jacks,Mumbai Indians,all-rounder,12
Washington Sundar,Gujarat Titans,all-rounder,6
XC Bartlett,Punjab Kings,all-rounder,4
YBK Jaiswal,Rajasthan Royals,batter,14
YS Chahal,Punjab Kings,bowler,13
Yash Dayal,Royal Challengers Bengaluru,all-rounder,15
Yash Thakur,Punjab Kings,bowler,2
Yudhvir Singh,Rajasthan Royals,bowler,4
Zeeshan Ansari,Sunrisers Hyderabad,bowler,10
