player,team,role,matches
WP Saha,Kolkata Knight Riders,batter,7
WPUJC Vaas,Deccan Chargers,all-rounder,2
Y Nagar,Delhi Daredevils,all-rounder,1
Y Venugopal Rao,Deccan Chargers,all-rounder,14
YA Abdulla,Kings XI Punjab,bowler,9
YK Pathan,Rajasthan Royals,all-rounder,13
YV Takawale,Mumbai Indians,batter,1
Yashpal Singh,Kolkata Knight Riders,batter,4
Yuvraj Singh,Kings XI Punjab,all-rounder,14
Z Khan,Mumbai Indians,all-rounder,6
